iter	Passed	Remaining
773	3875	1131
774	3883	1127
775	3887	1122
776	3895	1117
777	3906	1114
778	3919	1111
779	3933	1109
780	3938	1104
781	3945	1099
782	3950	1094
783	3957	1090
784	3964	1085
785	3967	1080
786	3969	1074
787	3972	1068
788	3977	1063
789	3980	1057
790	3983	1052
791	3988	1047
792	3993	1042
793	3996	1036
794	4001	1031
795	4004	1026
796	4009	1021
797	4013	1015
798	4015	1010
799	4018	1004
800	4023	999
801	4027	994
802	4035	990
803	4047	986
804	4055	982
805	4059	977
806	4064	972
807	4070	967
808	4074	961
809	4079	957
810	4086	952
811	4089	946
812	4096	942
813	4100	936
814	4103	931
815	4111	926
816	4115	921
817	4119	916
818	4126	912
819	4131	907
820	4135	901
821	4141	896
822	4149	892
823	4154	887
824	4158	882
825	4163	877
826	4172	872
827	4179	868
828	4184	863
829	4189	858
830	4195	853
831	4201	848
832	4209	843
833	4212	838
834	4215	833
835	4219	827
836	4222	822
837	4225	816
838	4228	811
839	4231	806
840	4234	800
841	4238	795
842	4241	789
843	4244	784
844	4248	779
845	4251	773
846	4254	768
847	4257	763
848	4261	757
849	4264	752
850	4268	747
851	4271	742
852	4274	736
853	4277	731
854	4281	726
855	4284	720
856	4288	715
857	4291	710
858	4293	704
859	4296	699
860	4299	694
861	4302	688
862	4304	683
863	4307	677
864	4309	672
865	4312	667
866	4315	662
867	4318	656
868	4321	651
869	4323	646
870	4326	640
871	4329	635
872	4331	630
873	4334	624
874	4337	619
875	4339	614
876	4342	609
877	4344	603
878	4347	598
879	4350	593
880	4353	588
881	4355	582
882	4358	577
883	4362	572
884	4364	567
885	4367	561
886	4370	556
887	4372	551
888	4375	546
889	4378	541
890	4381	535
891	4384	530
892	4387	525
893	4390	520
894	4393	515
895	4396	510
896	4398	505
897	4401	499
898	4403	494
899	4406	489
900	4408	484
901	4411	479
902	4413	474
903	4416	469
904	4419	463
905	4421	458
906	4423	453
907	4426	448
908	4428	443
909	4431	438
910	4433	433
911	4436	428
912	4438	422
913	4441	417
914	4444	412
915	4446	407
916	4448	402
917	4451	397
918	4453	392
919	4455	387
920	4458	382
921	4461	377
922	4464	372
923	4467	367
924	4470	362
925	4473	357
926	4476	352
927	4479	347
928	4481	342
929	4485	337
930	4489	332
931	4492	327
932	4495	322
933	4498	317
934	4501	312
935	4503	307
936	4506	303
937	4509	298
938	4511	293
939	4514	288
940	4516	283
941	4519	278
942	4522	273
943	4525	268
944	4527	263
945	4531	258
946	4533	253
947	4536	248
948	4539	243
949	4542	239
950	4544	234
951	4547	229
952	4549	224
953	4552	219
954	4554	214
955	4557	209
956	4559	204
957	4562	200
958	4564	195
959	4567	190
960	4569	185
961	4571	180
962	4573	175
963	4576	170
964	4579	166
965	4581	161
966	4584	156
967	4587	151
968	4589	146
969	4591	142
970	4593	137
971	4596	132
972	4599	127
973	4602	122
974	4604	118
975	4607	113
976	4609	108
977	4612	103
978	4615	98
979	4617	94
980	4620	89
981	4622	84
982	4624	79
983	4627	75
984	4629	70
985	4632	65
986	4635	61
987	4637	56
988	4640	51
989	4642	46
990	4644	42
991	4648	37
992	4651	32
993	4653	28
994	4656	23
995	4659	18
996	4661	14
997	4663	9
998	4666	4
999	4668	0
